english,polish,type,level
a,jeden / jakiś,przedimek,A1
abandon,porzucić,czasownik,B2
ability,umiejętność,rzeczownik,A2
able,zdolny,przymiotnik,A2
about,o / na temat,przyimek,A1
about,około / prawie,przysłówek,A1
above,nad / powyżej,przyimek,A1
above,powyżej,przysłówek,A1
abroad,za granicą,przysłówek,A2
absolute,absolutny,przymiotnik,B2
absolutely,całkowicie / absolutnie,przysłówek,B1
academic,akademicki,przymiotnik,B1
academic,naukowiec / wykładowca,rzeczownik,B2
accept,akceptować,czasownik,A2
acceptable,dopuszczalny,przymiotnik,B2
access,dostęp,rzeczownik,B1
access,mieć dostęp / uzyskać dostęp,czasownik,B1
accident,wypadek,rzeczownik,A2
accommodation,zakwaterowanie,rzeczownik,B1
accompany,towarzyszyć,czasownik,B2
according to,według / zgodnie z,przyimek,A2
account,konto / rachunek,rzeczownik,B1
account,uważać za / wyjaśniać,czasownik,B2
accurate,dokładny / trafny,przymiotnik,B2
accuse,oskarżać,czasownik,B2
achieve,osiągnąć,czasownik,A2
achievement,osiągnięcie,rzeczownik,B1
acknowledge,uznać / przyznać,czasownik,B2
acquire,nabyć / przyswoić,czasownik,B2
across,przez / w poprzek,przyimek,A1
across,na drugą stronę,przysłówek,A1
act,działać / grać,czasownik,A2
act,ustawa / akt,rzeczownik,B1
action,działanie / akcja,rzeczownik,A1
active,aktywny,przymiotnik,A2
activity,aktywność / zajęcie,rzeczownik,A1
actor,aktor,rzeczownik,A1
actress,aktorka,rzeczownik,A1
actual,rzeczywisty / faktyczny,przymiotnik,B2
actually,właściwie / naprawdę,przysłówek,A2
ad,reklama,rzeczownik,B1
adapt,dostosować / zaadaptować,czasownik,B2
add,dodać,czasownik,A1
addition,dodatek / dodawanie,rzeczownik,B1
additional,dodatkowy,przymiotnik,B2
address,adres,rzeczownik,A1
address,adresować / kierować,czasownik,B2
administration,administracja / zarząd,rzeczownik,B2
admire,podziwiać,czasownik,B1
admit,przyznać / wpuścić,czasownik,B1
adopt,adoptować / przyjąć,czasownik,B2
adult,osoba dorosła,rzeczownik,A1
adult,dorosły,przymiotnik,A2
advance,postęp / zaliczka,rzeczownik,B2
advance,postępować / awansować,czasownik,B2
advance,początkowy / wyprzedzający,przymiotnik,B2
advanced,zaawansowany,przymiotnik,B1
advantage,zaleta / przewaga,rzeczownik,A2
adventure,przygoda,rzeczownik,A2
advertise,reklamować,czasownik,A2
advertisement,reklama,rzeczownik,A2
advertising,reklamowanie / reklama,rzeczownik,A2
advice,rada,rzeczownik,A1
advise,radzić,czasownik,B1
affair,sprawa / romans,rzeczownik,B2
affect,wpływać na,czasownik,A2
afford,pozwolić sobie na,czasownik,B1
afraid,przestraszony / obawiający się,przymiotnik,A1
after,po,przyimek,A1
after,po tym jak,spójnik,A2
after,później,przysłówek,A2
afternoon,popołudnie,rzeczownik,A1
afterwards,później / potem,przysłówek,B2
again,znowu,przysłówek,A1
against,przeciwko,przyimek,A2
age,wiek,rzeczownik,A1
age,starzeć się,czasownik,B1
aged,w wieku,przymiotnik,B1
agency,agencja,rzeczownik,B2
agenda,program / porządek dnia,rzeczownik,B2
agent,agent,rzeczownik,B1
aggressive,agresywny,przymiotnik,B2
ago,temu,przysłówek,A1
agree,zgadzać się,czasownik,A1
