english,polish,type,level
pin,PIN,rzeczownik,B1
absolutely,absolutnie,przysłówek,B1
absolute,absolutny,przymiotnik,B2
graduate,absolwent,rzeczownik,B1
ah,ach,wykrzyknik,A2
administration,administracja,rzeczownik,B2
adopt,adoptować,czasownik,B2
address,adres,rzeczownik,A1
address,adresować,czasownik,B2
poster,afisz,rzeczownik,A2
agency,agencja,rzeczownik,B2
agent,agent,rzeczownik,B1
aggressive/ violent,agresywny,przymiotnik,B2
academic,akademicki,przymiotnik,B1
paragraph,akapit,rzeczownik,A1
stress,akcent,rzeczownik,A2
emphasize,akcentować,czasownik,B2
accept,akceptować,czasownik,A2
action/ share,akcja,rzeczownik,A1
stock,akcje (na giełdzie),rzeczownik,B2
act,akt,rzeczownik,B1
actor,aktor,rzeczownik,A1
actress,aktorka,rzeczownik,A1
update,aktualizacja,rzeczownik,B1
update,aktualizować,czasownik,B1
currently,aktualnie,przysłówek,B1
current,aktualny,przymiotnik,B1
activity,aktywność,rzeczownik,A1
active,aktywny,przymiotnik,A2
battery,akumulator,rzeczownik,B1
alarm,alarm,rzeczownik,B1
alarm,alarmować,czasownik,B2
or,albo,spójnik,A1
album,album,rzeczownik,B1
but,ale,spójnik,A1
alcohol,alkohol,rzeczownik,B1
spirit,alkohol (wysokoprocentowy),rzeczownik,B1
alcoholic,alkoholowy,przymiotnik,B1
alternative,alternatywa,rzeczownik,A2
alternative,alternatywny,przymiotnik,B1
ambition,ambicja,rzeczownik,B1
ambitious,ambitny,przymiotnik,B1
analysis/ research,analiza,rzeczownik,B1
analyse,analizować,czasownik,B1
involve,angażować,czasownik,A2
engage,angażować (się),czasownik,B2
neither,ani,przysłówek,B1
nor,ani,spójnik / przysłówek,B1
survey,ankieta,rzeczownik,A2
cancel,anulować,czasownik,B2
camera,aparat,rzeczownik,A1
appeal,apel,rzeczownik,B2
appeal,apelować,czasownik,B2
app,aplikacja,rzeczownik,A2
approval,aprobata,rzeczownik,B2
arrangement,aranżacja,rzeczownik,A2
arrange,aranżować,czasownik,A2
architect,architekt,rzeczownik,A2
architecture,architektura,rzeczownik,A2
arrest,aresztowanie,rzeczownik,B1
arrest,aresztować,czasownik,B1
argument,argument,rzeczownik,A2
argue,argumentować,czasownik,A2
sheet,arkusz,rzeczownik,A2
army,armia,rzeczownik,A2
article/ item,artykuł,rzeczownik,A1
artist,artysta,rzeczownik,A1
artistic,artystyczny,przymiotnik,B2
range,asortyment,rzeczownik,B1
aspect,aspekt,rzeczownik,B2
assistant,asystent,rzeczownik,A2
assist,asystować,czasownik,B1
attack,atak,rzeczownik,A2
attack,atakować,czasownik,A2
atmosphere,atmosfera,rzeczownik,B1
attraction,atrakcja,rzeczownik,B1
attractive,atrakcyjny,przymiotnik,A2
broadcast,audycja,rzeczownik,B2
bus,autobus,rzeczownik,A1
coach,autokar,rzeczownik,A2
author,autor,rzeczownik,A2
authority,autorytet,rzeczownik,B1
advance/ promote,awansować,czasownik,B2
till/ until,aż do,spójnik / przyimek,B1
that/ this,aż tak,przysłówek,B1
grandmother,babcia,rzeczownik,A1
researcher,badacz,rzeczownik,A2
research,badania naukowe,rzeczownik,A2
examination/ exploration/ study/ survey/ test,badanie,rzeczownik,B2
examine/ explore/ investigate/ research/ study/ survey,badać,czasownik,B1
boot,bagażnik,rzeczownik,A1
tale,bajka,rzeczownik,B2
bacteria,bakterie,rzeczownik,B2
balance,balansować,czasownik,B1
banana,banan,rzeczownik,A1
bank (money),bank,rzeczownik,A1
note,banknot,rzeczownik,A1
bar/ pub,bar,rzeczownik,A2
further/ more,bardziej,przysłówek,B1
badly/ deeply/ highly/ lot/ much/ very,bardzo,przysłówek,A2
barrier,bariera,rzeczownik,B2
shoulder,bark,rzeczownik,A2
baseball,baseball,rzeczownik,A2
pool,basen,rzeczownik,A1
battery,bateria,rzeczownik,B1
cotton,bawełna,rzeczownik,B1
play,bawić się,czasownik,A1
base/ basis,baza,rzeczownik,B1
fear,bać się,czasownik,B1
mess,bałagan,rzeczownik,B1
mess,bałaganić,czasownik,B1
bubble,bańka,rzeczownik,B1
fiction,beletrystyka,rzeczownik,A2
petrol,benzyna,rzeczownik,A2
gas,benzyna (AmE),rzeczownik,A2
without,bez,przyimek,A1
safety/ security,bezpieczeństwo,rzeczownik,B1
safe/ secure,bezpieczny,przymiotnik,A2
direct/ immediate,bezpośredni,przymiotnik,A2
direct/ directly/ right/ straight,bezpośrednio,przysłówek,B1
unemployment,bezrobocie,rzeczownik,B1
unemployed,bezrobotny,przymiotnik,B1
white,biały,przymiotnik,A1
library,biblioteka,rzeczownik,A1
poverty,bieda,rzeczownik,B1
poor,biedny,przymiotnik,A1
run,bieg,rzeczownik,A2
runner,biegacz,rzeczownik,A2
runner,biegaczka,rzeczownik,A2
running,bieganie,rzeczownik,A2
run,biegać,czasownik,A1
white,biel,rzeczownik,A1
underwear,bielizna,rzeczownik,B1
current,bieżący,przymiotnik,B1
ticket,bilet,rzeczownik,A1
single,bilet w jedną stronę,rzeczownik,A2
biology,biologia,rzeczownik,A2
battle,bitwa,rzeczownik,B1
desk,biurko,rzeczownik,A1
office,biuro,rzeczownik,A1
camping,biwakowanie,rzeczownik,A2
business,biznes,rzeczownik,A1
businessman,biznesmen,rzeczownik,A2
beat,bić,czasownik,A2
jewellery,biżuteria,rzeczownik,A2
pale,blady,przymiotnik,B1
close/ near,bliski,przymiotnik,A2
near,blisko,przyimek,A1
by/ close/ near/ nearly,blisko,przysłówek,B1
twin,bliźniaczka,rzeczownik,A2
twin,bliźniaczy,przymiotnik,A2
twin,bliźniak,rzeczownik,A2
blog,blog,rzeczownik,A1
block,blok,rzeczownik,B1
bar/ block,blokować,czasownik,B2
blonde,blond,przymiotnik,A1
because,bo,spójnik,A1
wealth,bogactwo,rzeczownik,B2
rich/ wealthy,bogaty,przymiotnik,A1
hero,bohater,rzeczownik,A2
field/ pitch,boisko,rzeczownik,A2
side,bok,rzeczownik,A2
painful,bolesny,przymiotnik,B1
hurt,boleć,czasownik,A2
bomb,bomba,rzeczownik,B1
bomb,bombardować,czasownik,B1
struggle,borykać się,czasownik,B2
lack,brak,rzeczownik,B1
missing,brakujący,przymiotnik,A2
gate,brama,rzeczownik,A2
gate,bramka,rzeczownik,A2
industry/ sector,branża,rzeczownik,A2
brother,brat,rzeczownik,A1
take,brać,czasownik,A1
consider/ regard,brać pod uwagę,czasownik,A2
attend/ participate,brać udział,czasownik,A2
defend,bronić,czasownik,B2
